Unnamed: 0,file_name,ground_truth,StutterType
0,441-128982-0000,when the little fleet of spanish vessels including the one which had been captured by bartholemy portuguez and his men were on their way to campeachy they met with very stormy weather so that they were separated and the ship which contained bartholemy and his companions arrived first at the port for which they were bound,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1,441-128982-0001,the captain who had bartholemy and the others in charge did not know what an important capture he had made he supposed that these pirates were ordinary buccaneers and it appears that it was his intention to keep them as his own private prisoners,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2,441-128982-0002,for as they were all very able bodied men they would be extremely useful on a ship but when his vessel was safely moored and it became known in the town that he had a company of pirates on board,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
3,441-128982-0003,and who had heard of his various exploits he therefore went to the captain of the vessel and informed him that he had on board one of the very worst pirates in the whole world whose wicked deeds were well known in various parts of the west indies,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4,441-128982-0004,and who ought immediately to be delivered up to the civil authorities this proposal however met with no favor from the spanish captain who had found bartholemy a very quiet man and could see that he was a very strong one,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
5,441-128982-0005,and he did not at all desire to give up such a valuable addition to his crew but the merchant grew very angry for he knew that bartholemy had inflicted great injury on spanish commerce and as the captain would not listen to him he went to the governor of the town and reported the case,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6,441-128982-0006,when this dignitary heard the story he immediately sent a party of officers to the ship and commanded the captain to deliver the pirate leader into their charge the other men were left where they were,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
7,441-128982-0007,but he did not lose heart and immediately set to work to free himself from his irons which were probably very clumsy affairs at last caring little how much he scratched and tore his skin,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
8,441-128982-0008,he succeeded in getting rid of his fetters and could move about as freely as a tiger in a cage to get out of this cage was bartholemy's first object it would be comparatively easy because in the course of time some one would come into the hold,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
9,441-128982-0009,and the athletic buccaneer thought that he could easily get the better of whoever might open the hatch but the next act in this truly melodramatic performance would be a great deal more difficult for in order to escape from the ship it would be absolutely necessary for bartholemy to swim to shore,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
10,441-128982-0010,and he did not know how to swim which seems a strange failing in a hardy sailor with so many other nautical accomplishments in the rough hold where he was shut up our pirate peering about anxious and earnest,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
11,441-128982-0011,he was satisfied that this unwieldy contrivance would support him in the water among other things he had found in his rummagings about the hold was an old knife and with this in his hand he now sat waiting for a good opportunity to attack his sentinel,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
12,441-128982-0012,this came soon after nightfall a man descended with a lantern to see that the prisoner was still secure let us hope that it was not the soldier who had kindly informed him of his fate and as soon as he was fairly in the hold bartholemy sprang upon him,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
13,441-128982-0013,there was a fierce struggle but the pirate was quick and powerful and the sentinel was soon dead then carrying his two jars bartholemy climbed swiftly and noiselessly up the short ladder,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
14,441-128982-0014,for a moment he sank below the surface but the two air tight jars quickly rose and bore him up with them there was a bustle on board the ship there was some random firing of muskets in the direction of the splashing which the watch had heard,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
15,441-128982-0015,but none of the balls struck the pirate or his jars and he soon floated out of sight and hearing kicking out with his legs and paddling as well as he could with one hand while he held on to the jars with the other he at last managed to reach the land,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
16,441-128982-0016,and ran as fast as he could into the dark woods beyond the town bartholemy was now greatly in fear that when his escape was discovered he would be tracked by bloodhounds,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
17,441-128982-0017,which was what he wished to do if the hounds should get upon his trail he was a lost man the desperate pirate therefore determined to give the bloodhounds no chance to follow him and for three days he remained in a marshy forest in the dark recesses of which he could hide,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
18,441-128982-0018,and where the water which covered the ground prevented the dogs from following his scent he had nothing to eat except a few roots of water plants but he was accustomed to privation and these kept him alive often he heard the hounds baying on the dry land adjoining the marsh,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
19,441-128982-0019,and sometimes he saw at night distant torches which he was sure were carried by men who were hunting for him but at last the pursuit seemed to be given up and hearing no more dogs and seeing no more flickering lights bartholemy left the marsh and set out on his long journey down the coast,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
20,441-128982-0020,which was forty leagues away but where he had reason to suppose he would find some friends when he came out from among the trees he mounted a small hill and looked back upon the town the public square was lighted and there in the middle of it he saw the gallows which had been erected for his execution,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
21,441-128982-0021,and this sight doubtless animated him very much during the first part of his journey the terrible trials and hardships which bartholemy experienced during his tramp along the coast were such as could have been endured only by one of the strongest and toughest of men,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
