,file_name,gt_transcriptions,total_stutter
0,5678-43301-0001.csv,it was through this alone that the false unity of the church with stutter fantastic spiritual fraternity stutter could be counteracted saint paul had been right he declared in his desire to stutter down the partition walls between nations,13
1,5678-43301-0020.csv,it was in the causes that stutter to poverty that the disgrace or the merritt les stutter would not honor a man worn out in the service of his stutter or overcome at last by circumstances against which his efforts could not prevail,15
2,5678-43301-0018.csv,into the old lady's hand stutter and herself then forward to listen oldness of brand looked at that to knowing that it was an analysis of her son speech and to wear that she would not be able to hear his words,2
3,5678-43301-0004.csv,and this platform was hung with roses stutter surmounted by a sounding board and set with stutter a chair and table the whole square roundabout was paved with heads and a stutter resident with sound the members of thousands of voices,7
4,5678-43301-0023.csv,stutter old mrs. brand lean back in her seat and looked about her the window where they sat had been reserved for them to stutter arm chairs filled the space but immediately behind there were others standing very silent now craning forward watching two with parted lips,7
5,5678-43301-0012.csv,and it was he who was to be chairman on this auspicious occasion behind him came oliver bareheaded and spruce and even at that distance his mother and wife could see his brisk movement,0
6,5678-43301-0016.csv,the stutter of god it was said lay within the human heart and the stutter of all graces was charity she glanced at mabel and saw that the girl was singing with all her might with stutter her eyes fixed on her husband's dark figure a hundred yards away,13
7,5678-43301-0027.csv,the old man at the table was up in the moment stutter and simultaneously a violent commotion bubbled and he'd like water about a rock at a point in the crowd immediately outside the rail space where the bands were masked and directly opposite the front of the platform,3
8,5678-43301-0007.csv,garden beds of color behind the mutant white statues that faced outwards round the square from braithwaite in front past the victorians john davidson john burns and the rest round to hampton and montfort toward the north,0
9,5678-43301-0002.csv,and wrong only in stutter his exaltation of jesus christ he had prelude in his stutter speech on the poor law question pointing to the true charity that stutter existed among masons apart from religious motive,8
10,5678-43301-0024.csv,a couple of women with an old man directly behind and other faces stutter again behind stutter their obvious absorption made the old lady a little ashamed of her distraction and she turned resolutely wants more to the square he was working up now to his panegyric,10
11,5678-43301-0003.csv,and looked out stutter considerable excitement at the huge throng gathered to hear her son speak a platform was erected around the bronze statue at such a height that the statesmen appeared to be one of the speakers though at a slightly higher elevation,5
12,5678-43301-0010.csv,"not less than 100,000 persons it was estimated in stutter the evening papers were collected within sight and sound of stutter platform by noon as the clocks begin to tell the hour to figures stutter from behind the statue and came forward and in an instant",12
13,5678-43301-0014.csv,and all england was familiar with stutter it old mrs. brand lifted the printed paper mechanically to her eyes and saw the stutter words that she knew so well the lord that dwells in earth and sea,7
14,5678-43301-0008.csv,the old column was gone with its lions,0
15,5678-43301-0021.csv,enumerated the reforms past 50 years before on this very day by which the nation once and for all declare the glory of poverty and man sympathy with the unfortunate so he had told them he was to sing the praise of patient poverty,0
16,5678-43301-0013.csv,there was no doubt that these londoners could sing stutter it was as if a giant voice home this owner is melody stutter rising to enthusiasm till the music of massed bands followed it stutter as a flag follow the flag stick the ham was one composed 10 years before,11
17,5678-43301-0011.csv,the murmurs of talk roseanne to cheering old lord pemberton came first a gray-haired upright man whose father had been active in denouncing the house of which he was a member on the occasion of its fall over 70 years ago and his son had succeeded him worthily,0
18,5678-43301-0000.csv,in his masonic insignia it was he who had stutter given immense impetus to that secret movement stutter by his declaration in the house that the key of future progress and brotherhood stutter of nations was in the hands of the order,10
19,5678-43301-0006.csv,and converge toward the wide railed space about the platform where stutter room was reserved for them the windows on every side were packed with faces tall stands were erected along the front of the national gallery and st. martin's church,2
20,5678-43301-0015.csv,had been composed with both stutter skill and artur they had a religious ring the unintelligent christian could sing them without a stutter qualm yet their sense was stutter plain enough the old human creed that man was all even christ's words themselves were quoted,11
21,5678-43301-0025.csv,the tiny dark figure was back a yard near stutter the statue and that she looked his hand went up and he wheeled stutter pointing has a murmur of applause drowned for an instant the stutter my new resident voice then again he was forward half crouching for he was a born actor,9
22,5678-43301-0005.csv,overpowered now and again by the crash of stutter brass and thunder of drums as the benefit societies and stutter guilds each headed by a banner,7
23,5678-43301-0019.csv,abyss great anniversary then there stutter came a retrospect comparing the old state of england with the present stutter 50 years ago the speaker said poverty stutter still a disgrace now it was so no longer,10
