FileName,Text,StutterType
103-1240-0000,chapter one missus rachel lynde is surprised missus rachel lynde lived just where the avonlea main road dipped down into a little hollow fringed with alders and ladies eardrops and traversed by a brook,[0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-126831-0041,was white and clear against the dark background of spruces we were woefully tired but we could not sit down because the grass was reeking with dew the family ghost only appears in daylight said the story girl,"[0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"
198-126831-0042,i know he'll laugh at us awful but it's better to be laughed at than scared like this uncle roger did not come until nearly ten never was there a more welcome sound than the rumble of his wheels in the lane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]"
198-126831-0043,we ran to the orchard gate and swarmed across the yard just as uncle roger alighted at the front door he stared at us in the moonlight,[0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-126831-0044,there's no use asking the meaning of this i suppose said uncle roger with the calm of despair i've gave up trying to fathom you young ones peter where's the key what yarn have you been telling,"[0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]"
198-126831-0045,uncle roger unlocked and flung open the front door as he did so clear and sweet rang out ten bell like chimes,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-126831-0046,we had to wait until uncle roger stopped laughing before we heard the explanation we thought he never would stop,[0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0]
198-126831-0047,and now it has almost frightened you poor little monkeys to death we heard uncle roger chuckling all the way to the barn,[0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-126831-0048,i was so frightened i wouldn't mind if he'd laugh once and have it done with it,[0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0]
198-126831-0049,i shall tell it too i don't care if the joke is as much on myself as any one a story is a story no matter who it's on but it is hateful to be laughed at and grown ups always do it i never will when i'm grown up i'll remember better,"[0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0]"
