file_name,ground_truth,prediction
2989-138028-0014,i would inflict a chastisement upon thee for the blasphemy thou hast uttered that all the world should ring with what can it be that a young hussy that hardly knows how to handle a dozen lace bobbins dares to wag her tongue and criticise the histories of knights errant,i would inflict a chastisement upon thee for the blasphemy thou hast u aa u uttered that all the world should ring with what can it be the young hussy that hardly knows how to handle a dozen lace bobbins dares to wag her tongue and criticise the histories of knight's errant
7780-274562-0008,and thus is it especially worthy of observation that the uninterrupted enjoyment which distinguished his life was in great part the result of preconcert it is indeed evident,and thus is it especially were the of observation that the uninterrupted enjoyment which distinguished his life was in great part the result of preconcert it the result of preconcert it he result of preconert it is indeed evident
8098-275181-0004,the thirty one had become thirty since nightfall the previous evening it was the first one we had lost we proceeded to look for traces our suspicions were divided,the thirty one had become a become had become thirty since nightfall the previous evening it was the first one we had lost we proceeded to look for traces our suspicions were divided
103-1240-0028,yet what of matthew's white collar and the sorrel mare missus rachel was getting fairly dizzy with this unusual mystery about quiet unmysterious green gables good evening rachel marilla said briskly this is a real fine evening isn't it won't you sit down,yet what of matthew's whate white white collar and the sorrel mare missus rachel was getting fairly dizzy with this unusual mystery this unusual mystery about quiet unmysterious green gables good evening rachel marilla said briskly this is a real fine evening isn't it won't you sit down
5390-30102-0000,chapter seven louise scents a mystery louise merrick was the eldest of uncle john's nieces having just passed her eighteenth birthday,chapter seven chseven seven louise scents a mystery louise merrick was the eldest of uncle john's nieces having just passed her eighteenth birthday
4018-107312-0033,well we had no thoughts but i said to harriet as it is a fine night let us walk about as long as we can and then to morrow we will lie in bed till afternoon,well we had no thoughts thoughts but i said to harriet as it is a fine night let night let us walk about as long as we can and then to morrow we will lie in bed till afternoon
2836-5355-0043,resumed sir francis in a little time you may probably wish to recall it in which case a line addressed to me at my banker's will lady isabel drew herself up put away those notes if you please she interrupted not allowing him to finish his sentence,resumed sir francis in a little time you may probably wish to recall it in which case a line address to me at my bankers will lady isabel drew herself up put away those notes if you please she interrupted not allowing him to finish his sentence
831-130739-0031,for upon every one of them waits the jest of the unexpected treadle you try at least to walk your machine in an easy manner and whack you are rubbing your shin so out of innocence we ripen,forupon on every one of them waits the jest of the unexpected treddle you try at least to walk your machine in an easy manner and whack you are rubbing your shin so out of innocence we ripen
8975-270782-0027,indeed translated this wish into various actions happily harmless the later death wish against some loved one which seems so strange also has its origin in early phases of the relationship to that person,indeed translated this wish in islated this wish into various actions happily harmless the later death wish against some death wish against some loved one which seems so strange also has its origin in early phases of the relationship to that person
2007-132570-0035,and saying what a fine thing it was for his excellenza to catch up men and they were as good booty as any other because of the ransoms,and saying what a fine thing it was for his excellensa to catch up men and they were as good booty as any other because of the ransoms
